numProfessors;numStudents;fileSize;serializationTime;serializationSpeed;deserializationTime;deserializationSpeed;
10;10;1427;20;71.35;17;83.94117647058823;
10;100;9250;5;1850.0;10;925.0;
10;1000;87083;11;7916.636363636364;16;5442.6875;
10;10000;865648;50;17312.96;50;17312.96;
100;10;6577;1;6577.0;9;730.7777777777778;
100;100;14425;0;Infinity;11;1311.3636363636363;
100;1000;92868;2;46434.0;10;9286.8;
100;10000;877081;24;36545.041666666664;22;39867.318181818184;
1000;10;57848;1;57848.0;7;8264.0;
1000;100;65668;2;32834.0;48;1368.0833333333333;
1000;1000;144116;3;48038.666666666664;8;18014.5;
1000;10000;928727;29;32025.068965517243;22;42214.86363636364;
10000;10;570393;16;35649.5625;21;27161.571428571428;
10000;100;578213;14;41300.92857142857;17;34012.529411764706;
10000;1000;656753;15;43783.53333333333;18;36486.27777777778;
10000;10000;1441112;23;62657.04347826087;21;68624.38095238095;
